"id","policy_id","document_id","document_type","chunk_kind","heading","content","source_url","source_location","quality_status","content_hash","embedding"
"chunk_overview_011","11","11","OVERVIEW","OVERVIEW","신혼부부전용 구입자금 개요","신혼부부전용 구입자금. 신혼가구의 주택 구입을 지원하는 주택도시기금 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","08_policy_document.csv#row:11:content","APPROVED","d9c738e76c283db78a067cbfa501d1ebd4df2e1fd350c4e731ffd69c69a94553",""
"chunk_overview_012","12","12","OVERVIEW","OVERVIEW","버팀목 전세자금대출 개요","버팀목 전세자금대출. 무주택 서민·신혼가구의 전세자금을 지원하는 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_070400","08_policy_document.csv#row:12:content","APPROVED","716c908002d92e07b73f9918d76aaa79ed71afa0b27104dc98b650d3bd50bcf8",""
"chunk_overview_013","13","13","OVERVIEW","OVERVIEW","디딤돌대출 개요","디딤돌대출. 무주택 실수요자의 주택 구입을 지원하는 장기 고정금리 정책대출. 관리기관: 주택도시기금·한국주택금융공사. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","08_policy_document.csv#row:13:content","APPROVED","680788fca6c4a300bae8c940c49054dfc23a8a952f7f07b6a95a89c1177876c9",""
"chunk_overview_014","14","14","OVERVIEW","OVERVIEW","신생아 특례 디딤돌대출 개요","신생아 특례 디딤돌대출. 출산가구의 주택 구입자금을 우대 조건으로 지원. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","08_policy_document.csv#row:14:content","APPROVED","7cd0fca786197a3acbd2d08c5913b900668837357c0244b852a417d74a7064aa",""
"chunk_overview_015","15","15","OVERVIEW","OVERVIEW","신생아 특례 버팀목대출 개요","신생아 특례 버팀목대출. 출산가구의 전세자금을 우대 조건으로 지원. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","08_policy_document.csv#row:15:content","APPROVED","576f9f580f022185a4d5a424ed2cdb35856b8efc73a94327293c5ec22d0866ed",""
"chunk_overview_016","16","16","OVERVIEW","OVERVIEW","더 아름다운 결혼식 공공예식장 개요","더 아름다운 결혼식 공공예식장. 서울의 공공·민간 협력 공간을 예식장으로 개방하고 상담·예식 진행을 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://mediahub.seoul.go.kr/archives/2017932","08_policy_document.csv#row:16:content","APPROVED","d2752ce51c3138a69e815837076ec54e6f8f78c6773e7b9873cdb9adcd1640cd",""
"chunk_overview_017","17","17","OVERVIEW","OVERVIEW","더 아름다운 결혼식 비품비 지원 개요","더 아름다운 결혼식 비품비 지원. 서울시 지정 공공예식장 이용 예비부부에게 결혼식 비품비 바우처를 지원. 관리기관: 서울특별시. 상태: BUDGET_LIMITED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","08_policy_document.csv#row:17:content","APPROVED","e84a797288aaaddd1fed3e6fb6ea7ed7ad9371b0d162632f86256ae05310dfd4",""
"chunk_overview_018","18","18","OVERVIEW","OVERVIEW","신혼부부 결혼·살림비용 지원 개요","신혼부부 결혼·살림비용 지원. 결혼준비와 신혼살림 장만 비용을 예산 범위에서 지원하는 서울시 사업. 관리기관: 서울특별시. 상태: PILOT_OR_BUDGET_LIMITED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","08_policy_document.csv#row:18:content","APPROVED","6dc27882f5cfea9b729bd7fca9852d0c1996159dad02f05f250aa91e945ce715",""
"chunk_overview_019","19","19","OVERVIEW","OVERVIEW","더 아름다운 결혼식 연계 혼수가전 할인 개요","더 아름다운 결혼식 연계 혼수가전 할인. 공공예식장 예약자에게 협약기업의 혼수가전 할인 혜택을 연계. 관리기관: 서울특별시·협약기업. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://mediahub.seoul.go.kr/archives/2017812","08_policy_document.csv#row:19:content","APPROVED","fdd551d0a781a5567b366ccd3ba3d2723e70a0fa0a76af9be2ee0f283b5855e5",""
"chunk_overview_020","20","20","OVERVIEW","OVERVIEW","결혼세액공제 개요","결혼세액공제. 2024~2026년 혼인신고자에게 생애 1회 적용되는 혼인 관련 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","08_policy_document.csv#row:20:content","APPROVED","6c92bb64617201471f55d810425c084556e81f35069d382a2944eab66572491f",""
"chunk_overview_021","21","21","OVERVIEW","OVERVIEW","자녀세액공제 개요","자녀세액공제. 기본공제 대상 자녀 수에 따라 종합소득 산출세액에서 공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","08_policy_document.csv#row:21:content","APPROVED","47bcf73110cb840870e7b89f4da906a5f6f5b84eb4e791f2af3b8d432e47fe3f",""
"chunk_overview_022","22","22","OVERVIEW","OVERVIEW","출산·입양 세액공제 개요","출산·입양 세액공제. 해당 과세기간에 출산하거나 입양 신고한 자녀에 대해 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","08_policy_document.csv#row:22:content","APPROVED","27825f4022aa1dd87f6bffbbc60910a012603fae6c485cb55b51591f5be957d8",""
"chunk_overview_023","23","23","OVERVIEW","OVERVIEW","월세액 세액공제 개요","월세액 세액공제. 요건을 충족하는 무주택 근로자·성실사업자의 월세액 일부를 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr","08_policy_document.csv#row:23:content","APPROVED","7af7a81759d426872f4851c3983bb4a424ec488bf94edae7533263513eb9ee92",""
"chunk_overview_024","24","24","OVERVIEW","OVERVIEW","주택청약종합저축 소득공제 개요","주택청약종합저축 소득공제. 요건을 충족하는 무주택 세대주의 청약저축 납입액 일부를 소득공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr","08_policy_document.csv#row:24:content","APPROVED","eb5b0c69b79a68baa4e1c7839df56773bdde09c0a746bb09df8ae90692303cf3",""
"chunk_overview_025","25","25","OVERVIEW","OVERVIEW","출산·보육수당 비과세 개요","출산·보육수당 비과세. 근로자가 받는 출산·보육 관련 수당을 세법상 한도와 요건에 따라 비과세. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","08_policy_document.csv#row:25:content","APPROVED","f8f7c5e97aba835d8ad4d0894010212d0b0dda824b9e097270f76e074d7d7430",""
"chunk_overview_026","26","26","OVERVIEW","OVERVIEW","서울시 임산부 교통비 지원 개요","서울시 임산부 교통비 지원. 서울 거주 임산부에게 출생순위 등에 따라 교통비 바우처를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","08_policy_document.csv#row:26:content","APPROVED","a9125b64dbbf10fb648f681f2ec98f8e95f90e72ce1707143d262940bc71f40f",""
"chunk_overview_027","27","27","OVERVIEW","OVERVIEW","서울형 산후조리경비 지원 개요","서울형 산후조리경비 지원. 서울 거주 산모의 건강회복과 산후조리를 위한 바우처 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","08_policy_document.csv#row:27:content","APPROVED","69fca17c34a4dd17e0af4abc5ea120b5bb240f2077fe438ae01f3065f9fa33f2",""
"chunk_overview_028","28","28","OVERVIEW","OVERVIEW","첫만남이용권 개요","첫만남이용권. 출생아에게 국민행복카드 바우처로 초기 양육비를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","08_policy_document.csv#row:28:content","APPROVED","4a0bdf109a269ec77a23bc1e62cadf554426448a0bec224163d4f209abc34631",""
"chunk_overview_029","29","29","OVERVIEW","OVERVIEW","부모급여 개요","부모급여. 영아를 가정에서 양육하거나 보육서비스를 이용할 때 월 단위 급여·바우처를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","08_policy_document.csv#row:29:content","APPROVED","fb5acd5572e3b665d6c709ef771a1dd4b0bf328f62035107ca40d77011dd0e7b",""
"chunk_overview_030","30","30","OVERVIEW","OVERVIEW","아동수당 개요","아동수당. 연령 요건을 충족하는 아동에게 월 단위 현금급여를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","08_policy_document.csv#row:30:content","APPROVED","7db1d9ec64d242539378eda91d580346ec587cf1faa2987891dd6fd8485b14b8",""
"chunk_overview_031","31","31","OVERVIEW","OVERVIEW","아이돌봄서비스 개요","아이돌봄서비스. 맞벌이 등 양육공백 가정에 아이돌보미가 방문하여 돌봄을 제공하고 소득에 따라 비용을 지원. 관리기관: 여성가족부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.idolbom.go.kr","08_policy_document.csv#row:31:content","APPROVED","e5342eec32cca17d05f907c47a86a3f608dc9b3032014a04a040685eb2b2a72a",""
"chunk_overview_032","32","32","OVERVIEW","OVERVIEW","서울형 아이돌봄비(손주돌봄·민간돌봄) 개요","서울형 아이돌봄비(손주돌봄·민간돌봄). 조부모 등 친인척 돌봄 또는 민간 돌봄서비스 이용 가정에 돌봄비를 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr","08_policy_document.csv#row:32:content","APPROVED","c21cb62fb193721399bbbacb060f4d0155b895d6f9e514307af0a217e0bd084c",""
"chunk_overview_033","33","33","OVERVIEW","OVERVIEW","서울아기 건강 첫걸음 개요","서울아기 건강 첫걸음. 간호사가 출산가정을 방문하여 산모·영아 건강관리와 양육상담을 제공. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","08_policy_document.csv#row:33:content","APPROVED","1506e839bd39e81d11a77de5fbb72b6841d9f5223283cead9cf19570ce208496",""
"chunk_overview_034","34","34","OVERVIEW","OVERVIEW","산모·신생아 건강관리 지원 개요","산모·신생아 건강관리 지원. 출산가정에 건강관리사가 방문하여 산모 회복과 신생아 양육을 지원. 관리기관: 보건복지부·서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","08_policy_document.csv#row:34:content","APPROVED","f333a2fb9e14aaeb012c85987c1e925bb7674d37c7b779f7c59b46de583756ee",""
"chunk_overview_035","35","35","OVERVIEW","OVERVIEW","국민행복카드 임신·출산 진료비 지원 개요","국민행복카드 임신·출산 진료비 지원. 임신·출산 관련 진료비를 국민행복카드 바우처로 지원. 관리기관: 국민건강보험공단. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nhis.or.kr","08_policy_document.csv#row:35:content","APPROVED","613cce697a271e18dac21750d45e58ecdf09279b21e8af87c25327b52faca347",""
"chunk_overview_036","36","36","OVERVIEW","OVERVIEW","1인 자영업자 등 임산부 출산급여 지원 개요","1인 자영업자 등 임산부 출산급여 지원. 서울시 1인 자영업자·프리랜서 등 임산부의 출산으로 인한 소득감소를 보완. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","08_policy_document.csv#row:36:content","APPROVED","60752a74844084dfb2ae1cd27a01b353a751e5e255776fb558a1053bd04883bc",""
"chunk_overview_037","37","37","OVERVIEW","OVERVIEW","1인 자영업자 등 배우자 출산휴가급여 지원 개요","1인 자영업자 등 배우자 출산휴가급여 지원. 서울시 1인 자영업자 등에게 배우자 출산휴가급여를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2","08_policy_document.csv#row:37:content","APPROVED","88cb21e2bc51fa8e21bb4dd13e8c197629a8ed479577b5a54edd86690121c1f6",""
"chunk_overview_038","38","38","OVERVIEW","OVERVIEW","소상공인 민간 아이돌봄 지원 개요","소상공인 민간 아이돌봄 지원. 서울시 소상공인 사업주·근로자 등의 민간 아이돌봄 이용비를 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74","08_policy_document.csv#row:38:content","APPROVED","207de3a94eaa1b92a5b3fdda2f306a9e38e1ef984aba584966c74e1e66198958",""
