"id","policy_id","document_type","title","content","source_url","document_status","trust_level","embedding"
"11","11","OVERVIEW","신혼부부전용 구입자금 개요","신혼부부전용 구입자금. 신혼가구의 주택 구입을 지원하는 주택도시기금 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","APPROVED","OFFICIAL",""
"12","12","OVERVIEW","버팀목 전세자금대출 개요","버팀목 전세자금대출. 무주택 서민·신혼가구의 전세자금을 지원하는 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_070400","APPROVED","OFFICIAL",""
"13","13","OVERVIEW","디딤돌대출 개요","디딤돌대출. 무주택 실수요자의 주택 구입을 지원하는 장기 고정금리 정책대출. 관리기관: 주택도시기금·한국주택금융공사. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","APPROVED","OFFICIAL",""
"14","14","OVERVIEW","신생아 특례 디딤돌대출 개요","신생아 특례 디딤돌대출. 출산가구의 주택 구입자금을 우대 조건으로 지원. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","APPROVED","OFFICIAL",""
"15","15","OVERVIEW","신생아 특례 버팀목대출 개요","신생아 특례 버팀목대출. 출산가구의 전세자금을 우대 조건으로 지원. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","APPROVED","OFFICIAL",""
"16","16","OVERVIEW","더 아름다운 결혼식 공공예식장 개요","더 아름다운 결혼식 공공예식장. 서울의 공공·민간 협력 공간을 예식장으로 개방하고 상담·예식 진행을 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://mediahub.seoul.go.kr/archives/2017932","APPROVED","OFFICIAL",""
"17","17","OVERVIEW","더 아름다운 결혼식 비품비 지원 개요","더 아름다운 결혼식 비품비 지원. 서울시 지정 공공예식장 이용 예비부부에게 결혼식 비품비 바우처를 지원. 관리기관: 서울특별시. 상태: BUDGET_LIMITED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","APPROVED","OFFICIAL",""
"18","18","OVERVIEW","신혼부부 결혼·살림비용 지원 개요","신혼부부 결혼·살림비용 지원. 결혼준비와 신혼살림 장만 비용을 예산 범위에서 지원하는 서울시 사업. 관리기관: 서울특별시. 상태: PILOT_OR_BUDGET_LIMITED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","APPROVED","OFFICIAL",""
"19","19","OVERVIEW","더 아름다운 결혼식 연계 혼수가전 할인 개요","더 아름다운 결혼식 연계 혼수가전 할인. 공공예식장 예약자에게 협약기업의 혼수가전 할인 혜택을 연계. 관리기관: 서울특별시·협약기업. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://mediahub.seoul.go.kr/archives/2017812","APPROVED","OFFICIAL",""
"20","20","OVERVIEW","결혼세액공제 개요","결혼세액공제. 2024~2026년 혼인신고자에게 생애 1회 적용되는 혼인 관련 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","APPROVED","OFFICIAL",""
"21","21","OVERVIEW","자녀세액공제 개요","자녀세액공제. 기본공제 대상 자녀 수에 따라 종합소득 산출세액에서 공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","APPROVED","OFFICIAL",""
"22","22","OVERVIEW","출산·입양 세액공제 개요","출산·입양 세액공제. 해당 과세기간에 출산하거나 입양 신고한 자녀에 대해 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","APPROVED","OFFICIAL",""
"23","23","OVERVIEW","월세액 세액공제 개요","월세액 세액공제. 요건을 충족하는 무주택 근로자·성실사업자의 월세액 일부를 세액공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr","APPROVED","OFFICIAL",""
"24","24","OVERVIEW","주택청약종합저축 소득공제 개요","주택청약종합저축 소득공제. 요건을 충족하는 무주택 세대주의 청약저축 납입액 일부를 소득공제. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr","APPROVED","OFFICIAL",""
"25","25","OVERVIEW","출산·보육수당 비과세 개요","출산·보육수당 비과세. 근로자가 받는 출산·보육 관련 수당을 세법상 한도와 요건에 따라 비과세. 관리기관: 국세청. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","APPROVED","OFFICIAL",""
"26","26","OVERVIEW","서울시 임산부 교통비 지원 개요","서울시 임산부 교통비 지원. 서울 거주 임산부에게 출생순위 등에 따라 교통비 바우처를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","APPROVED","OFFICIAL",""
"27","27","OVERVIEW","서울형 산후조리경비 지원 개요","서울형 산후조리경비 지원. 서울 거주 산모의 건강회복과 산후조리를 위한 바우처 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","APPROVED","OFFICIAL",""
"28","28","OVERVIEW","첫만남이용권 개요","첫만남이용권. 출생아에게 국민행복카드 바우처로 초기 양육비를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","APPROVED","OFFICIAL",""
"29","29","OVERVIEW","부모급여 개요","부모급여. 영아를 가정에서 양육하거나 보육서비스를 이용할 때 월 단위 급여·바우처를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","APPROVED","OFFICIAL",""
"30","30","OVERVIEW","아동수당 개요","아동수당. 연령 요건을 충족하는 아동에게 월 단위 현금급여를 지원. 관리기관: 보건복지부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","APPROVED","OFFICIAL",""
"31","31","OVERVIEW","아이돌봄서비스 개요","아이돌봄서비스. 맞벌이 등 양육공백 가정에 아이돌보미가 방문하여 돌봄을 제공하고 소득에 따라 비용을 지원. 관리기관: 여성가족부. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.idolbom.go.kr","APPROVED","OFFICIAL",""
"32","32","OVERVIEW","서울형 아이돌봄비(손주돌봄·민간돌봄) 개요","서울형 아이돌봄비(손주돌봄·민간돌봄). 조부모 등 친인척 돌봄 또는 민간 돌봄서비스 이용 가정에 돌봄비를 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr","APPROVED","OFFICIAL",""
"33","33","OVERVIEW","서울아기 건강 첫걸음 개요","서울아기 건강 첫걸음. 간호사가 출산가정을 방문하여 산모·영아 건강관리와 양육상담을 제공. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","APPROVED","OFFICIAL",""
"34","34","OVERVIEW","산모·신생아 건강관리 지원 개요","산모·신생아 건강관리 지원. 출산가정에 건강관리사가 방문하여 산모 회복과 신생아 양육을 지원. 관리기관: 보건복지부·서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.bokjiro.go.kr","APPROVED","OFFICIAL",""
"35","35","OVERVIEW","국민행복카드 임신·출산 진료비 지원 개요","국민행복카드 임신·출산 진료비 지원. 임신·출산 관련 진료비를 국민행복카드 바우처로 지원. 관리기관: 국민건강보험공단. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.nhis.or.kr","APPROVED","OFFICIAL",""
"36","36","OVERVIEW","1인 자영업자 등 임산부 출산급여 지원 개요","1인 자영업자 등 임산부 출산급여 지원. 서울시 1인 자영업자·프리랜서 등 임산부의 출산으로 인한 소득감소를 보완. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","APPROVED","OFFICIAL",""
"37","37","OVERVIEW","1인 자영업자 등 배우자 출산휴가급여 지원 개요","1인 자영업자 등 배우자 출산휴가급여 지원. 서울시 1인 자영업자 등에게 배우자 출산휴가급여를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2","APPROVED","OFFICIAL",""
"38","38","OVERVIEW","소상공인 민간 아이돌봄 지원 개요","소상공인 민간 아이돌봄 지원. 서울시 소상공인 사업주·근로자 등의 민간 아이돌봄 이용비를 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74","APPROVED","OFFICIAL",""
