"policy_id","category_code","category_name","policy_name","summary","managing_agency","status","application_start_date","application_end_date","normalized_rules","application_url","source_url","verified_at","caution"
"15","LOAN","대출","신생아 특례 버팀목대출","출산가구의 전세자금을 우대 조건으로 지원","주택도시기금","ACTIVE","","","CHILD_BIRTH_DATE IN_PERIOD OFFICIAL_PERIOD || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || RENT_CONTRACT_STATUS EQ SIGNED","https://nhuf.molit.go.kr","https://nhuf.molit.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"16","WEDDING","웨딩","더 아름다운 결혼식 공공예식장","서울의 공공·민간 협력 공간을 예식장으로 개방하고 상담·예식 진행을 지원","서울특별시","ACTIVE","","","WEDDING_STATUS IN PLANNED|RESERVED || SEOUL_LIVING_CONNECTION EQ YES || VENUE_AVAILABILITY EQ AVAILABLE","https://wedding.seoulwomen.or.kr","https://mediahub.seoul.go.kr/archives/2017932","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"17","WEDDING","웨딩","더 아름다운 결혼식 비품비 지원","서울시 지정 공공예식장 이용 예비부부에게 결혼식 비품비 바우처를 지원","서울특별시","BUDGET_LIMITED","","","RELATED_POLICY_USED CONTAINS POLICY_16 || WEDDING_STATUS EQ RESERVED || APPLICATION_BEFORE_EVENT EQ YES","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"18","WEDDING","웨딩","신혼부부 결혼·살림비용 지원","결혼준비와 신혼살림 장만 비용을 예산 범위에서 지원하는 서울시 사업","서울특별시","PILOT_OR_BUDGET_LIMITED","2025-10-13","2025-10-24","MARRIAGE_REGISTRATION_DATE IN_PERIOD 2025-07-14_OR_LATER || RESIDENCE_REGION EQ SEOUL_OR_SPOUSE || RESIDENCE_DURATION_DAYS GTE 180 || HOUSEHOLD_INCOME LTE MEDIAN_120_PERCENT || RELATED_POLICY_USED NOT_CONTAINS POLICY_17 || EXPENSE_RECEIPT_EXISTS EQ YES","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"19","WEDDING","웨딩","더 아름다운 결혼식 연계 혼수가전 할인","공공예식장 예약자에게 협약기업의 혼수가전 할인 혜택을 연계","서울특별시·협약기업","ACTIVE","","","RELATED_POLICY_USED CONTAINS POLICY_16 || WEDDING_DATE GTE 2026-01-01","https://mediahub.seoul.go.kr/archives/2017812","https://mediahub.seoul.go.kr/archives/2017812","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"20","TAX","세제","결혼세액공제","2024~2026년 혼인신고자에게 생애 1회 적용되는 혼인 관련 세액공제","국세청","ACTIVE","","","MARRIAGE_REGISTRATION_DATE BETWEEN 2024-01-01|2026-12-31 || TAX_YEAR IN 2024|2025|2026 || PREVIOUSLY_CLAIMED EQ NO","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"21","TAX","세제","자녀세액공제","기본공제 대상 자녀 수에 따라 종합소득 산출세액에서 공제","국세청","ACTIVE","","","CHILD_COUNT GTE 1 || CHILD_AGE GTE 8 || TAX_DEPENDENT EQ YES","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"22","TAX","세제","출산·입양 세액공제","해당 과세기간에 출산하거나 입양 신고한 자녀에 대해 세액공제","국세청","ACTIVE","","","CHILD_BIRTH_DATE IN_TAX_YEAR TAX_YEAR || BIRTH_OR_ADOPTION IN BIRTH|ADOPTION","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"23","TAX","세제","월세액 세액공제","요건을 충족하는 무주택 근로자·성실사업자의 월세액 일부를 세액공제","국세청","ACTIVE","","","HOME_OWNERSHIP EQ HOUSELESS || RENT_PAYMENT_EXISTS EQ YES || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || RENT_CONTRACT_ADDRESS_MATCH EQ YES","https://www.nts.go.kr","https://www.nts.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"24","TAX","세제","주택청약종합저축 소득공제","요건을 충족하는 무주택 세대주의 청약저축 납입액 일부를 소득공제","국세청","ACTIVE","","","HOME_OWNERSHIP EQ HOUSELESS || SUBSCRIPTION_SAVINGS_PAYMENT EQ YES || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD","https://www.nts.go.kr","https://www.nts.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"25","TAX","세제","출산·보육수당 비과세","근로자가 받는 출산·보육 관련 수당을 세법상 한도와 요건에 따라 비과세","국세청","ACTIVE","","","EMPLOYMENT_STATUS EQ EMPLOYEE || CHILD_AGE LTE 6 || EMPLOYER_ALLOWANCE EQ YES","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"26","CHILDCARE","출산·육아","서울시 임산부 교통비 지원","서울 거주 임산부에게 출생순위 등에 따라 교통비 바우처를 지원","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || PREGNANCY_OR_POSTPARTUM IN PREGNANT|POSTPARTUM || RESIDENCE_DURATION_DAYS GTE 90 || OWN_CARD_AVAILABLE EQ YES","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"27","CHILDCARE","출산·육아","서울형 산후조리경비 지원","서울 거주 산모의 건강회복과 산후조리를 위한 바우처 지원","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || CHILD_BIRTH_DATE IN_PERIOD OFFICIAL_PERIOD || MOTHER_APPLICANT EQ YES","https://umppa.seoul.go.kr","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"28","CHILDCARE","출산·육아","첫만남이용권","출생아에게 국민행복카드 바우처로 초기 양육비를 지원","보건복지부","ACTIVE","","","CHILD_BIRTH_REGISTERED EQ YES || CHILD_NATIONALITY_OR_RESIDENCY EQ ELIGIBLE","https://www.bokjiro.go.kr","https://www.bokjiro.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"29","CHILDCARE","출산·육아","부모급여","영아를 가정에서 양육하거나 보육서비스를 이용할 때 월 단위 급여·바우처를 지원","보건복지부","ACTIVE","","","CHILD_AGE_MONTHS LTE 23 || CHILDCARE_TYPE IN HOME|DAYCARE","https://www.bokjiro.go.kr","https://www.bokjiro.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"30","CHILDCARE","출산·육아","아동수당","연령 요건을 충족하는 아동에게 월 단위 현금급여를 지원","보건복지부","ACTIVE","","","CHILD_AGE_MONTHS LT 96 || CHILD_BIRTH_REGISTERED EQ YES","https://www.bokjiro.go.kr","https://www.bokjiro.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"31","CHILDCARE","출산·육아","아이돌봄서비스","맞벌이 등 양육공백 가정에 아이돌보미가 방문하여 돌봄을 제공하고 소득에 따라 비용을 지원","여성가족부","ACTIVE","","","CHILD_AGE LTE 12 || CARE_GAP EQ YES || HOUSEHOLD_INCOME ANY ALL","https://www.idolbom.go.kr","https://www.idolbom.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"32","CHILDCARE","출산·육아","서울형 아이돌봄비(손주돌봄·민간돌봄)","조부모 등 친인척 돌봄 또는 민간 돌봄서비스 이용 가정에 돌봄비를 지원","서울특별시","PERIODIC","","","RESIDENCE_REGION EQ SEOUL || CHILD_AGE_MONTHS IN 24_TO_36_OR_ANNOUNCEMENT || HOUSEHOLD_INCOME LTE MEDIAN_INCOME_THRESHOLD || CARE_PROVIDER IN RELATIVE|PRIVATE","https://umppa.seoul.go.kr","https://umppa.seoul.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"33","CHILDCARE","출산·육아","서울아기 건강 첫걸음","간호사가 출산가정을 방문하여 산모·영아 건강관리와 양육상담을 제공","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || CHILD_AGE_MONTHS LTE 24_OR_LOCAL_STANDARD || HOME_VISIT_CONSENT EQ YES","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"34","CHILDCARE","출산·육아","산모·신생아 건강관리 지원","출산가정에 건강관리사가 방문하여 산모 회복과 신생아 양육을 지원","보건복지부·서울특별시","ACTIVE","","","CHILD_BIRTH_DATE IN_PERIOD APPLICATION_PERIOD || HOUSEHOLD_INCOME LTE TYPE_THRESHOLD_OR_EXCEPTION || SERVICE_NEEDED EQ YES","https://www.bokjiro.go.kr","https://www.bokjiro.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"35","CHILDCARE","출산·육아","국민행복카드 임신·출산 진료비 지원","임신·출산 관련 진료비를 국민행복카드 바우처로 지원","국민건강보험공단","ACTIVE","","","PREGNANCY_CONFIRMED EQ YES || HEALTH_INSURANCE_ELIGIBLE EQ YES","https://www.nhis.or.kr","https://www.nhis.or.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"36","CHILDCARE","출산·육아","1인 자영업자 등 임산부 출산급여 지원","서울시 1인 자영업자·프리랜서 등 임산부의 출산으로 인한 소득감소를 보완","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || EMPLOYMENT_STATUS IN SELF_EMPLOYED|FREELANCER|PLATFORM_WORKER || CHILD_BIRTH_DATE IN_PERIOD OFFICIAL_PERIOD","https://umppa.seoul.go.kr","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"37","CHILDCARE","출산·육아","1인 자영업자 등 배우자 출산휴가급여 지원","서울시 1인 자영업자 등에게 배우자 출산휴가급여를 지원","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || EMPLOYMENT_STATUS IN SELF_EMPLOYED|FREELANCER|PLATFORM_WORKER || SPOUSE_GAVE_BIRTH EQ YES || LEAVE_DAYS LTE 10","https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2","https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"38","CHILDCARE","출산·육아","소상공인 민간 아이돌봄 지원","서울시 소상공인 사업주·근로자 등의 민간 아이돌봄 이용비를 지원","서울특별시","PERIODIC","2026-06-10","2026-06-24","RESIDENCE_REGION EQ SEOUL || EMPLOYMENT_STATUS IN SMALL_BUSINESS_OWNER|SMALL_BUSINESS_EMPLOYEE|WLB_COMPANY_EMPLOYEE || CHILD_AGE_MONTHS BETWEEN 3|144 || APPLICATION_PERIOD_OPEN EQ YES","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
