"id","category_id","condition_key","question_text","answer_type","options","priority","parent_question_id","show_condition"
"24","1","SUBSCRIPTION_ANNOUNCEMENT","신청하려는 공공주택의 모집공고가 열려 있나요?","SINGLE_SELECT","[{""label"":""예"",""value"":""OPEN""},{""label"":""아니오"",""value"":""CLOSED""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","24","",""
"25","2","HOME_PURCHASE_STATUS","주택 구입 계획 또는 매매계약이 있나요?","SINGLE_SELECT","[{""label"":""계획 없음"",""value"":""NONE""},{""label"":""검토 중"",""value"":""REVIEWING""},{""label"":""계약 예정"",""value"":""PLANNED""},{""label"":""계약 완료"",""value"":""SIGNED""}]","25","",""
"26","3","SEOUL_LIVING_CONNECTION","본인·예비배우자 또는 부모 중 서울 거주·생활권에 해당하는 사람이 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","26","",""
"27","3","VENUE_AVAILABILITY","희망하는 공공예식장과 날짜를 확인했나요?","BOOLEAN","[{""label"":""예"",""value"":""AVAILABLE""},{""label"":""아니오"",""value"":""UNAVAILABLE""}]","27","10","{""condition_key"":""WEDDING_STATUS"",""operator"":""IN"",""value"":[""PLANNED"",""RESERVED""]}"
"28","3","APPLICATION_BEFORE_EVENT","예식일 전 신청기한을 지킬 수 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","28","10","{""condition_key"":""WEDDING_STATUS"",""operator"":""EQ"",""value"":""RESERVED""}"
"29","3","EXPENSE_RECEIPT_EXISTS","결혼·살림 관련 지출 영수증을 보관하고 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","29","",""
"30","3","WEDDING_DATE","예식 예정일은 언제인가요?","DATE","","30","10","{""condition_key"":""WEDDING_STATUS"",""operator"":""IN"",""value"":[""PLANNED"",""RESERVED""]}"
"31","4","TAX_YEAR","확인하려는 연말정산 귀속연도는 언제인가요?","NUMBER","","31","",""
"32","4","PREVIOUSLY_CLAIMED","혼인세액공제를 이전에 적용받은 적이 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","32","",""
"33","5","CHILD_AGE","자녀의 현재 나이는 몇 세인가요?","NUMBER","","33","12","{""condition_key"":""CHILD_COUNT"",""operator"":""GT"",""value"":0}"
"34","4","TAX_DEPENDENT","해당 자녀가 기본공제 대상인가요?","SINGLE_SELECT","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","34","12","{""condition_key"":""CHILD_COUNT"",""operator"":""GT"",""value"":0}"
"35","5","BIRTH_OR_ADOPTION","이번 과세기간에 출산 또는 입양 신고가 있었나요?","SINGLE_SELECT","[{""label"":""출산"",""value"":""BIRTH""},{""label"":""입양"",""value"":""ADOPTION""},{""label"":""없음"",""value"":""NONE""}]","35","",""
"36","4","RENT_PAYMENT_EXISTS","본인 명의로 월세를 지급하고 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","36","",""
"37","4","RENT_CONTRACT_ADDRESS_MATCH","주민등록 주소와 임대차계약서 주소가 일치하나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","37","36","{""condition_key"":""RENT_PAYMENT_EXISTS"",""operator"":""EQ"",""value"":""YES""}"
"38","4","SUBSCRIPTION_SAVINGS_PAYMENT","주택청약종합저축에 납입하고 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","38","",""
"39","5","EMPLOYMENT_STATUS","본인 또는 배우자의 근로 형태는 무엇인가요?","MULTI_SELECT","[{""label"":""근로자"",""value"":""EMPLOYEE""},{""label"":""1인 자영업자"",""value"":""SELF_EMPLOYED""},{""label"":""프리랜서"",""value"":""FREELANCER""},{""label"":""플랫폼 노동자"",""value"":""PLATFORM_WORKER""},{""label"":""소상공인 근로자"",""value"":""SMALL_BUSINESS_EMPLOYEE""},{""label"":""기타"",""value"":""OTHER""}]","39","",""
"40","4","EMPLOYER_ALLOWANCE","회사에서 출산·보육수당을 받고 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","40","39","{""condition_key"":""EMPLOYMENT_STATUS"",""operator"":""CONTAINS"",""value"":""EMPLOYEE""}"
"41","5","OWN_CARD_AVAILABLE","본인 명의의 지원 가능 신용·체크카드가 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","41","",""
"42","5","MOTHER_APPLICANT","산모 본인이 신청하나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","42","",""
"43","5","CHILD_BIRTH_REGISTERED","출생신고를 완료했나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","43","11","{""condition_key"":""PREGNANCY_OR_POSTPARTUM"",""operator"":""EQ"",""value"":""POSTPARTUM""}"
"44","5","CHILD_NATIONALITY_OR_RESIDENCY","출생아의 주민등록·국적 요건을 확인했나요?","SINGLE_SELECT","[{""label"":""충족"",""value"":""ELIGIBLE""},{""label"":""미충족"",""value"":""INELIGIBLE""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","44","43","{""condition_key"":""CHILD_BIRTH_REGISTERED"",""operator"":""EQ"",""value"":""YES""}"
"45","5","CHILD_AGE_MONTHS","자녀의 월령은 몇 개월인가요?","NUMBER","","45","12","{""condition_key"":""CHILD_COUNT"",""operator"":""GT"",""value"":0}"
"46","5","CHILDCARE_TYPE","현재 주된 양육 방식은 무엇인가요?","SINGLE_SELECT","[{""label"":""가정양육"",""value"":""HOME""},{""label"":""어린이집"",""value"":""DAYCARE""},{""label"":""유치원"",""value"":""KINDERGARTEN""},{""label"":""친인척 돌봄"",""value"":""RELATIVE""},{""label"":""민간돌봄"",""value"":""PRIVATE""}]","46","",""
"47","5","CARE_GAP","맞벌이·질병·취업준비 등으로 양육공백이 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","47","",""
"48","5","CARE_PROVIDER","주된 돌봄 제공자는 누구인가요?","SINGLE_SELECT","[{""label"":""부모"",""value"":""PARENT""},{""label"":""조부모·친인척"",""value"":""RELATIVE""},{""label"":""공공 아이돌보미"",""value"":""PUBLIC""},{""label"":""민간 돌보미"",""value"":""PRIVATE""},{""label"":""어린이집"",""value"":""DAYCARE""}]","48","",""
"49","5","HOME_VISIT_CONSENT","간호사 또는 건강관리사의 가정방문 상담을 희망하나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","49","",""
"50","5","SERVICE_NEEDED","산후 건강관리사의 방문 서비스가 필요한가요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","50","11","{""condition_key"":""PREGNANCY_OR_POSTPARTUM"",""operator"":""EQ"",""value"":""POSTPARTUM""}"
"51","5","PREGNANCY_CONFIRMED","의료기관에서 임신확인을 받았나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","51","11","{""condition_key"":""PREGNANCY_OR_POSTPARTUM"",""operator"":""EQ"",""value"":""PREGNANT""}"
"52","5","HEALTH_INSURANCE_ELIGIBLE","국민건강보험 가입자 또는 피부양자인가요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","52","",""
"53","5","SPOUSE_GAVE_BIRTH","배우자가 최근 출산했나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","53","",""
"54","5","LEAVE_DAYS","배우자 출산으로 쉬거나 소득활동을 중단한 일수는 며칠인가요?","NUMBER","","54","53","{""condition_key"":""SPOUSE_GAVE_BIRTH"",""operator"":""EQ"",""value"":""YES""}"
"55","5","APPLICATION_PERIOD_OPEN","현재 해당 연도 모집기간인가요?","SINGLE_SELECT","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","55","",""
