"id","policy_id","condition_key","operator","expected_value","required","question_id","evidence_text","source_url","source_location","extraction_method","admin_review_status","evaluation_mode"
"13","4","RESIDENCE_REGION","EQ","SEOUL","true","1","서울 거주 출산가구","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","03_policy_rule.csv#row:13:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"14","4","CHILD_BIRTH_DATE","IN_PERIOD","OFFICIAL_PERIOD","true","13","공고상 출생일 기준","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","03_policy_rule.csv#row:14:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"15","4","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택가구","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","03_policy_rule.csv#row:15:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"16","4","HOUSING_COST_EXISTS","EQ","YES","true","23","전세대출이자 또는 월세 등 실제 주거비","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","03_policy_rule.csv#row:16:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"17","5","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","공고별 신혼부부·예비신혼부부·한부모","https://housing.seoul.go.kr/site/main/content/sh01_060503","03_policy_rule.csv#row:17:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"18","5","HOUSEHOLD_INCOME","LTE","ANNOUNCEMENT_THRESHOLD","true","6","공급 공고별 소득 기준","https://housing.seoul.go.kr/site/main/content/sh01_060503","03_policy_rule.csv#row:18:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"19","5","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 요건","https://housing.seoul.go.kr/site/main/content/sh01_060503","03_policy_rule.csv#row:19:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"20","5","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","현재 모집공고 확인","https://housing.seoul.go.kr/site/main/content/sh01_060503","03_policy_rule.csv#row:20:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"21","6","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","신혼희망타운 대상","https://housing.seoul.go.kr/site/main/content/sh01_060511","03_policy_rule.csv#row:21:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"22","6","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택세대구성원","https://housing.seoul.go.kr/site/main/content/sh01_060511","03_policy_rule.csv#row:22:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"23","6","HOUSEHOLD_INCOME","LTE","ANNOUNCEMENT_THRESHOLD","true","6","공급 유형별 소득 기준","https://housing.seoul.go.kr/site/main/content/sh01_060511","03_policy_rule.csv#row:23:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"24","6","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","입주자 모집공고별 신청","https://housing.seoul.go.kr/site/main/content/sh01_060511","03_policy_rule.csv#row:24:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"25","7","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","신혼부부 매입임대 유형","https://apply.lh.or.kr","03_policy_rule.csv#row:25:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"26","7","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://apply.lh.or.kr","03_policy_rule.csv#row:26:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"27","7","HOUSEHOLD_INCOME","LTE","ANNOUNCEMENT_THRESHOLD","true","6","공고별 소득·자산","https://apply.lh.or.kr","03_policy_rule.csv#row:27:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"28","7","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","모집공고 확인","https://apply.lh.or.kr","03_policy_rule.csv#row:28:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"29","8","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","신혼부부 전세임대 유형","https://apply.lh.or.kr","03_policy_rule.csv#row:29:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"30","8","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://apply.lh.or.kr","03_policy_rule.csv#row:30:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"31","8","HOUSEHOLD_INCOME","LTE","ANNOUNCEMENT_THRESHOLD","true","6","공고별 소득·자산","https://apply.lh.or.kr","03_policy_rule.csv#row:31:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"32","8","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","모집공고 확인","https://apply.lh.or.kr","03_policy_rule.csv#row:32:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"33","9","RESIDENCE_REGION","EQ","SEOUL","true","1","서울시 공급","https://www.i-sh.co.kr","03_policy_rule.csv#row:33:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"34","9","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED","true","2","신혼부부","https://www.i-sh.co.kr","03_policy_rule.csv#row:34:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"35","9","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://www.i-sh.co.kr","03_policy_rule.csv#row:35:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"36","9","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","SH 모집공고 확인","https://www.i-sh.co.kr","03_policy_rule.csv#row:36:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"37","10","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED","true","2","신혼가구","https://nhuf.molit.go.kr","03_policy_rule.csv#row:37:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"38","10","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 세대주","https://nhuf.molit.go.kr","03_policy_rule.csv#row:38:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"39","10","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","부부합산 소득","https://nhuf.molit.go.kr","03_policy_rule.csv#row:39:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"40","10","HOUSEHOLD_ASSET","LTE","OFFICIAL_THRESHOLD","true","7","순자산 기준","https://nhuf.molit.go.kr","03_policy_rule.csv#row:40:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"41","10","RENT_CONTRACT_STATUS","EQ","SIGNED","true","9","임대차계약 필요","https://nhuf.molit.go.kr","03_policy_rule.csv#row:41:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"42","11","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED","true","2","신혼가구","https://nhuf.molit.go.kr","03_policy_rule.csv#row:42:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"43","11","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://nhuf.molit.go.kr","03_policy_rule.csv#row:43:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"44","11","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","부부합산 소득","https://nhuf.molit.go.kr","03_policy_rule.csv#row:44:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"45","11","HOUSEHOLD_ASSET","LTE","OFFICIAL_THRESHOLD","true","7","순자산","https://nhuf.molit.go.kr","03_policy_rule.csv#row:45:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"46","11","HOME_PURCHASE_STATUS","IN","PLANNED|SIGNED","true","25","주택 매매계약","https://nhuf.molit.go.kr","03_policy_rule.csv#row:46:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"47","12","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 세대주","https://housing.seoul.go.kr/site/main/content/sh01_070400","03_policy_rule.csv#row:47:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"48","12","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","부부합산 소득","https://housing.seoul.go.kr/site/main/content/sh01_070400","03_policy_rule.csv#row:48:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"49","12","HOUSEHOLD_ASSET","LTE","OFFICIAL_THRESHOLD","true","7","순자산","https://housing.seoul.go.kr/site/main/content/sh01_070400","03_policy_rule.csv#row:49:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"50","12","RENT_CONTRACT_STATUS","EQ","SIGNED","true","9","임대차계약","https://housing.seoul.go.kr/site/main/content/sh01_070400","03_policy_rule.csv#row:50:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"51","13","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 실수요자","https://nhuf.molit.go.kr","03_policy_rule.csv#row:51:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"52","13","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","소득 기준","https://nhuf.molit.go.kr","03_policy_rule.csv#row:52:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"53","13","HOUSEHOLD_ASSET","LTE","OFFICIAL_THRESHOLD","true","7","자산 기준","https://nhuf.molit.go.kr","03_policy_rule.csv#row:53:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"54","13","HOME_PURCHASE_STATUS","IN","PLANNED|SIGNED","true","25","주택 구입","https://nhuf.molit.go.kr","03_policy_rule.csv#row:54:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"55","14","CHILD_BIRTH_DATE","IN_PERIOD","OFFICIAL_PERIOD","true","13","대출접수일 기준 출산 기간","https://nhuf.molit.go.kr","03_policy_rule.csv#row:55:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"56","14","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://nhuf.molit.go.kr","03_policy_rule.csv#row:56:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"57","14","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","출산가구 소득 기준","https://nhuf.molit.go.kr","03_policy_rule.csv#row:57:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"58","14","HOME_PURCHASE_STATUS","IN","PLANNED|SIGNED","true","25","주택 구입","https://nhuf.molit.go.kr","03_policy_rule.csv#row:58:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"59","15","CHILD_BIRTH_DATE","IN_PERIOD","OFFICIAL_PERIOD","true","13","대출접수일 기준 출산 기간","https://nhuf.molit.go.kr","03_policy_rule.csv#row:59:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"60","15","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택","https://nhuf.molit.go.kr","03_policy_rule.csv#row:60:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"61","15","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","출산가구 소득 기준","https://nhuf.molit.go.kr","03_policy_rule.csv#row:61:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"62","15","RENT_CONTRACT_STATUS","EQ","SIGNED","true","9","임대차계약","https://nhuf.molit.go.kr","03_policy_rule.csv#row:62:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"63","16","WEDDING_STATUS","IN","PLANNED|RESERVED","true","10","예식 예정","https://mediahub.seoul.go.kr/archives/2017932","03_policy_rule.csv#row:63:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"64","16","SEOUL_LIVING_CONNECTION","EQ","YES","true","26","서울 거주·생활권 또는 부모 서울 거주 등 운영기준 확인","https://mediahub.seoul.go.kr/archives/2017932","03_policy_rule.csv#row:64:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"65","16","VENUE_AVAILABILITY","EQ","AVAILABLE","true","27","공공예식장 일정 확인","https://mediahub.seoul.go.kr/archives/2017932","03_policy_rule.csv#row:65:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"66","17","RELATED_POLICY_USED","CONTAINS","POLICY_16","true","20","더 아름다운 결혼식 지정 공공예식장 이용","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","03_policy_rule.csv#row:66:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"67","17","WEDDING_STATUS","EQ","RESERVED","true","10","예식 예약","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","03_policy_rule.csv#row:67:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"68","17","APPLICATION_BEFORE_EVENT","EQ","YES","true","28","예식일 이전 신청기한 준수","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406","03_policy_rule.csv#row:68:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"69","18","MARRIAGE_REGISTRATION_DATE","IN_PERIOD","2025-07-14_OR_LATER","true","3","2025 시범사업 기준","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:69:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"70","18","RESIDENCE_REGION","EQ","SEOUL_OR_SPOUSE","true","1","부부 중 1인 이상 서울 거주","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:70:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"71","18","RESIDENCE_DURATION_DAYS","GTE","180","true","4","신청일 이전 180일 이상","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:71:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"72","18","HOUSEHOLD_INCOME","LTE","MEDIAN_120_PERCENT","true","6","2025 시범사업 중위소득 120%","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:72:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"73","18","RELATED_POLICY_USED","NOT_CONTAINS","POLICY_17","true","20","비품비 지원과 중복 제한","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:73:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"74","18","EXPENSE_RECEIPT_EXISTS","EQ","YES","true","29","결혼·살림 지출 증빙","https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E","03_policy_rule.csv#row:74:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"75","19","RELATED_POLICY_USED","CONTAINS","POLICY_16","true","20","2026년 더 아름다운 결혼식 예약자","https://mediahub.seoul.go.kr/archives/2017812","03_policy_rule.csv#row:75:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"76","19","WEDDING_DATE","GTE","2026-01-01","true","30","2026년 예식 예약자","https://mediahub.seoul.go.kr/archives/2017812","03_policy_rule.csv#row:76:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"77","20","MARRIAGE_REGISTRATION_DATE","BETWEEN","2024-01-01|2026-12-31","true","3","2024~2026년 중 혼인신고","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","03_policy_rule.csv#row:77:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"78","20","TAX_YEAR","IN","2024|2025|2026","true","31","해당 귀속연도","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","03_policy_rule.csv#row:78:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"79","20","PREVIOUSLY_CLAIMED","EQ","NO","true","32","생애 1회","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311","03_policy_rule.csv#row:79:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"80","21","CHILD_COUNT","GTE","1","true","12","기본공제 대상 자녀","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","03_policy_rule.csv#row:80:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"81","21","CHILD_AGE","GTE","8","true","33","기본공제 대상 자녀 연령 요건","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","03_policy_rule.csv#row:81:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"82","21","TAX_DEPENDENT","EQ","YES","true","34","기본공제 대상","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","03_policy_rule.csv#row:82:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"83","22","CHILD_BIRTH_DATE","IN_TAX_YEAR","TAX_YEAR","true","13","해당 과세기간 출산","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","03_policy_rule.csv#row:83:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"84","22","BIRTH_OR_ADOPTION","IN","BIRTH|ADOPTION","true","35","출산 또는 입양 신고","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596","03_policy_rule.csv#row:84:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"85","23","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 요건","https://www.nts.go.kr","03_policy_rule.csv#row:85:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"86","23","RENT_PAYMENT_EXISTS","EQ","YES","true","36","월세 지급","https://www.nts.go.kr","03_policy_rule.csv#row:86:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"87","23","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","총급여·종합소득 기준","https://www.nts.go.kr","03_policy_rule.csv#row:87:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"88","23","RENT_CONTRACT_ADDRESS_MATCH","EQ","YES","true","37","주민등록 주소와 임대차계약 주소","https://www.nts.go.kr","03_policy_rule.csv#row:88:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"89","24","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 세대주","https://www.nts.go.kr","03_policy_rule.csv#row:89:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"90","24","SUBSCRIPTION_SAVINGS_PAYMENT","EQ","YES","true","38","청약저축 납입","https://www.nts.go.kr","03_policy_rule.csv#row:90:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"91","24","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","총급여 기준","https://www.nts.go.kr","03_policy_rule.csv#row:91:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"92","25","EMPLOYMENT_STATUS","EQ","EMPLOYEE","true","39","근로소득자","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","03_policy_rule.csv#row:92:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"93","25","CHILD_AGE","LTE","6","true","33","출산·보육수당 대상 자녀","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","03_policy_rule.csv#row:93:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"94","25","EMPLOYER_ALLOWANCE","EQ","YES","true","40","사용자로부터 출산·보육수당 수령","https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093","03_policy_rule.csv#row:94:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"95","26","RESIDENCE_REGION","EQ","SEOUL","true","1","서울 거주","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","03_policy_rule.csv#row:95:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"96","26","PREGNANCY_OR_POSTPARTUM","IN","PREGNANT|POSTPARTUM","true","11","임신 확인 후부터 출산 후 신청기한 내","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","03_policy_rule.csv#row:96:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"97","26","RESIDENCE_DURATION_DAYS","GTE","90","true","4","2026-07-01 이후 신청 건 거주요건","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","03_policy_rule.csv#row:97:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"98","26","OWN_CARD_AVAILABLE","EQ","YES","true","41","본인 명의 협약 카드","https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2","03_policy_rule.csv#row:98:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
